cppex,patch_cpp,y
"```cpp
this->writeSupport = parquetConfig.getWriteSupport();
this->instantTime = instantTime;
this->taskContextSupplier = taskContextSupplier;
this->populateMetaFields = populateMetaFields;
}

void writeAvroWithMetadata(R avroRecord, HoodieRecord record) override {
    if (populateMetaFields) {
        prepRecordWithMetadata(avroRecord, record, instantTime,
            taskContextSupplier.getPartitionIdSupplier().get(), recordIndex, file.getName());
        BaseClass::write(avroRecord);
        writeSupport.add(record.getRecordKey());
    } else {
        BaseClass::write(avroRecord);
    }
}
```","void writeAvroWithMetadata(R avroRecord, HoodieRecord& record) override {
    if (populateMetaFields) {
        prepRecordWithMetadata(avroRecord, record, instantTime,
            taskContextSupplier.getPartitionIdSupplier().get(), recordIndex, file.getName());
        BaseClass::write(avroRecord);
        writeSupport.add(record.getRecordKey());
    } else {
        BaseClass::write(avroRecord);
    }
}",1
"#include <vector>
#include <algorithm>
#include <unordered_map>
#include <map>","#include <vector>
#include <algorithm>
#include <unordered_map>
#include <map>",0
"using static org::mule::runtime::config::spring::internal::dsl::spring::ComponentModelHelper::isRouter;
using static org::mule::runtime::config::spring::internal::dsl::spring::ComponentModelHelper::isTemplateOnErrorHandler;
using static org::mule::runtime::config::spring::internal::dsl::spring::ComponentModelHelper::resolveComponentType;","#include ""ComponentModelHelper.h""
using namespace ComponentModelHelper;

#include ""ComponentIdentifier.h""
#include ""TypedComponentIdentifier.h""
#include ""ComponentLocation.h""",0
"template <typename T>
class InProcessBundle {
public:
    static InProcessBundle<T> unkeyed(PCollection<T>* pcollection) {
        return InProcessBundle<T>(pcollection, nullptr);
    }

    static InProcessBundle<T> keyed(PCollection<T>* pcollection, void* key) {
        return InProcessBundle<T>(pcollection, key);
    }

private:
    InProcessBundle(PCollection<T>* pcollection, void* key)
        : pcollection(pcollection), key(key), elements() {}

    PCollection<T>* pcollection;
    void* key;
    std::vector<T> elements;
};","template <typename T>
class InProcessBundle {
public:
    static InProcessBundle<T> unkeyed(PCollection<T>* pcollection) {
        return InProcessBundle<T>(pcollection, nullptr);
    }

    static InProcessBundle<T> keyed(PCollection<T>* pcollection, void* key) {
        return InProcessBundle<T>(pcollection, key);
    }

private:
    InProcessBundle(PCollection<T>* pcollection, void* key)
        : pcollection(pcollection), key(key), elements{} {}

    PCollection<T>* pcollection;
    void* key;
    std::vector<T> elements;
};",1
"void test_isVarargsCollector_Using_asVarargsCollector_asTyped_arg_int_to_byte() {
    auto mh = MethodHandles::lookup().findStatic<PackageExamples>(""addPublicStaticVariableArity"", MethodType::methodType<int, std::vector<int>>());

    Assert::assertTrue(mh.isVarargsCollector());

    mh = mh.asType(MethodType::methodType<int, uint8_t>());

    Assert::assertFalse(mh.isVarargsCollector());
}","#include <gtest/gtest.h>
#include <vector>
#include <cstdint>

class PackageExamples {
public:
    static int addPublicStaticVariableArity(const std::vector<int>& args) {
        int sum = 0;
        for (int n : args) sum += n;
        return sum;
    }
};

class MethodHandle {
    // Simplified stand-in for demonstration
    bool varargsCollector = true;
public:
    using FuncType = int(const std::vector<int>&);
    FuncType* func;

    MethodHandle(FuncType* f, bool isVarargs = true)
        : func(f), varargsCollector(isVarargs) {}

    bool isVarargsCollector() const { return varargsCollector; }

    MethodHandle asType(int(*)(uint8_t)) const {
        return MethodHandle(reinterpret_cast<FuncType*>(nullptr), false);
    }
};

TEST(MethodHandleTest, test_isVarargsCollector_Using_asVarargsCollector_asTyped_arg_int_to_byte) {
    MethodHandle mh(&PackageExamples::addPublicStaticVariableArity);

    ASSERT_TRUE(mh.isVarargsCollector());

    mh = mh.asType(nullptr);

    ASSERT_FALSE(mh.isVarargsCollector());
}",0
"std::string commitSha;
try {
    std::map<std::string, std::string> git;
    std::istream* gitResource = getResource(clazz, gitPath);
    std::string line;
    while (std::getline(*gitResource, line)) {
        auto delimPos = line.find('=');
        if (delimPos != std::string::npos) {
            std::string key = line.substr(0, delimPos);
            std::string value = line.substr(delimPos + 1);
            git[key] = value;
        }
    }
    commitSha = git[gitPropertyName];
} catch (const std::exception&) {
}","std::string commitSha;
try {
    std::ifstream gitResource(getResource(clazz, gitPath));
    std::map<std::string, std::string> git;
    std::string line;
    while (std::getline(gitResource, line)) {
        auto pos = line.find('=');
        if (pos != std::string::npos) {
            git[line.substr(0, pos)] = line.substr(pos + 1);
        }
    }
    commitSha = git[gitPropertyName];
    // abbreviate if present and looks like a long sha
}",0
"std::string commitInstantFileName = HoodieTimeline::makeCommitFileName(""002"");
assert(fs().Delete((basePath() + Path::SEPARATOR + HoodieTableMetaClient::METAFOLDER_NAME + ""/"" + commitInstantFileName), false));
testTable.doWriteOperation(""003"", UPSERT, {}, {""p1"", ""p2""}, 1);
syncTableMetadata(writeConfig);
auto metadataMetaClient = HoodieTableMetaClient::builder().setConf(hadoopConf()).setBasePath(metadataTableBasePath).build();
auto timeline = metadataMetaClient.getActiveTimeline();
assert(timeline.containsInstant(HoodieInstant(false, HoodieTimeline::DELTA_COMMIT_ACTION, ""001"")));
assert(timeline.containsInstant(HoodieInstant(false, HoodieTimeline::DELTA_COMMIT_ACTION, ""002"")));","std::string commitInstantFileName = HoodieTimeline::makeCommitFileName(""002"");
assert(fs()->Delete(Path(basePath() + Path::SEPARATOR + HoodieTableMetaClient::METAFOLDER_NAME,
    commitInstantFileName), false));
testTable.doWriteOperation(""003"", UPSERT, {}, {""p1"", ""p2""}, 1);
syncTableMetadata(writeConfig);
auto metadataMetaClient = HoodieTableMetaClient::builder().setConf(hadoopConf()).setBasePath(metadataTableBasePath).build();
HoodieActiveTimeline timeline = metadataMetaClient->getActiveTimeline();
assert(timeline.containsInstant(HoodieInstant(false, HoodieTimeline::DELTA_COMMIT_ACTION, ""001"")));
assert(timeline.containsInstant(HoodieInstant(false, HoodieTimeline::DELTA_COMMIT_ACTION, ""002"")));",0
"return oldFilePath;
}

WriteStatus getWriteStatus() override {
    return writeStatus;
}","Path getStorageWriterPath() {
    return (this->tempPath == nullptr) ? this->newFilePath : this->tempPath;
}

WriteStatus getWriteStatus() override {
    return writeStatus;
}",0
"#include <set>
#include <string>","#include <set>
#include <string>
#include <memory>",0
"```cpp
#include <string>
#include <filesystem>
#include <cassert>
#include <stdexcept>

class DomainFileBuilder {
public:
    std::string getDeployedPath() const;
    std::string getConfigFile() const;
};

std::filesystem::path domainsDir;
DomainFileBuilder dummyDomainFileBuilder;

void doRedeployDomainByChangingConfigFileWithGoodOne() {
    doRedeployDomainByChangingConfigFile(""/empty-domain-config.xml"", dummyDomainFileBuilder);
}

void doRedeployDomainByChangingConfigFileWithGoodOne(const DomainFileBuilder& domain) {
    doRedeployDomainByChangingConfigFile(""/empty-domain-config.xml"", domain);
}

void doRedeployDummyDomainByChangingConfigFileWithBadOne() {
    doRedeployDomainByChangingConfigFile(""/bad-domain-config.xml"", dummyDomainFileBuilder);
}

void doRedeployDomainByChangingConfigFile(const std::string& configFile, const DomainFileBuilder& domain) {
    std::filesystem::path originalConfigFile = domainsDir / domain.getDeployedPath() / domain.getConfigFile();
    assert(std::filesystem::exists(originalConfigFile) && ""Cannot find domain config file"");
    std::filesystem::path newConfigFile = std::filesystem::path(""resources"") / configFile; // Replace with your resource loading logic
    if (!std::filesystem::exists(newConfigFile)) {
        throw std::runtime_error(""Resource file not found: "" + newConfigFile.string());
    }
    // further logic here...
}
```","```cpp
#include <string>
#include <cassert>
#include <filesystem>
#include <fstream>
#include <stdexcept>

class DomainFileBuilder
{
public:
    std::string getDeployedPath() const;
    std::string getConfigFile() const;
};

std::filesystem::path domainsDir;
DomainFileBuilder dummyDomainFileBuilder;

void doRedeployDomainByChangingConfigFile(const std::string& configFile, const DomainFileBuilder& domain)
{
    std::filesystem::path originalConfigFile = domainsDir / domain.getDeployedPath() / domain.getConfigFile();
    assert(std::filesystem::exists(originalConfigFile) && ""Cannot find domain config file"");
    std::filesystem::path newConfigFile = std::filesystem::canonical(configFile);
    // ...
}

void doRedeployDummyDomainByChangingConfigFileWithGoodOne()
{
    doRedeployDomainByChangingConfigFile(""/empty-domain-config.xml"", dummyDomainFileBuilder);
}

void doRedeployDomainByChangingConfigFileWithGoodOne(const DomainFileBuilder& domain)
{
    doRedeployDomainByChangingConfigFile(""/empty-domain-config.xml"", domain);
}

void doRedeployDummyDomainByChangingConfigFileWithBadOne()
{
    doRedeployDomainByChangingConfigFile(""/bad-domain-config.xml"", dummyDomainFileBuilder);
}
```",1
"#include ""ParameterGroupModel.h""
#include ""ParameterModel.h""
#include ""ParameterizedModel.h""
#include ""DataType.h""
#include ""TypedValue.h""
#include ""ParameterElementDeclaration.h""
#include ""ParameterGroupElementDeclaration.h""
#include ""ParameterizedElementDeclaration.h""","#include ""NamedObject.h""
#include ""ParameterGroupModel.h""
#include ""ParameterModel.h""
#include ""ParameterizedModel.h""
#include ""DataType.h""
#include ""TypedValue.h""
#include ""ParameterElementDeclaration.h""
#include ""ParameterGroupElementDeclaration.h""
#include ""ParameterizedElementDeclaration.h""",0
"auto stepsIter = aggregatorSteps.find(aggregator);
std::unordered_map<std::string, T> stepValues;
for (const auto& transform : evaluationContext.getSteps()) {
    if (stepsIter != aggregatorSteps.end() && stepsIter->second.count(transform.getTransform()) > 0) {
        T aggregate = aggregators.getAggregate(
            evaluationContext.getStepName(transform), aggregator.getName());
        if (aggregate != nullptr) {","std::vector<PTransform*>* steps = aggregatorSteps[aggregator];
std::map<std::string, T> stepValues;
for (auto* transform : evaluationContext.getSteps()) {
    if (steps != nullptr && std::find(steps->begin(), steps->end(), transform->getTransform()) != steps->end()) {
        T aggregate = aggregators.getAggregate(
            evaluationContext.getStepName(transform), aggregator.getName());
        if (aggregate != nullptr) {",1
"} else {
  std::string dateString = valueMeta->getString(valueData);
  if (!dateString.empty()) {
    pgCopyOut.write(dateString.c_str(), dateString.size());
  }
}
break;","```cpp
std::string dateString = valueMeta.getString(valueData);
if (!dateString.empty()) {
    pgCopyOut.write(dateString.c_str(), dateString.size()); // C++ does not have encoding variants for getBytes as in Java; set encoding elsewhere if needed
}
```",0
"SimplePropertyDescriptor const JavascriptLibrary::FunctionWithLengthAndNameTypeDescriptors[2] = {
    SimplePropertyDescriptor(BuiltInPropertyRecords::length, PropertyConfigurable),
    SimplePropertyDescriptor(BuiltInPropertyRecords::name, PropertyConfigurable)
};

SimpleTypeHandler<1> JavascriptLibrary::SharedPrototypeTypeHandler(
    BuiltInPropertyRecords::constructor,
    PropertyWritable | PropertyConfigurable,
    PropertyTypesWritableDataOnly,
    4,
    sizeof(DynamicObject)
);

SimpleTypeHandler<1> JavascriptLibrary::SharedFunctionWithoutPrototypeTypeHandler(
    BuiltInPropertyRecords::name,
    PropertyConfigurable
);

SimpleTypeHandler<1> JavascriptLibrary::SharedFunctionWithPrototypeTypeHandlerV11(
    BuiltInPropertyRecords::prototype,
    PropertyWritable
);

SimpleTypeHandler<2> JavascriptLibrary::SharedFunctionWithPrototypeTypeHandler(
    SharedFunctionPropertyDescriptors
);

SimpleTypeHandler<1> JavascriptLibrary::SharedIdMappedFunctionWithPrototypeTypeHandler(
    BuiltInPropertyRecords::prototype
);

SimpleTypeHandler<1> JavascriptLibrary::SharedFunctionWithLengthTypeHandler(
    BuiltInPropertyRecords::length
);

SimpleTypeHandler<2> JavascriptLibrary::SharedFunctionWithLengthAndNameTypeHandler(
    FunctionWithLengthAndNameTypeDescriptors
);

MissingPropertyTypeHandler JavascriptLibrary::MissingPropertyHolderTypeHandler;","namespace Js
{
    const SimplePropertyDescriptor JavascriptLibrary::FunctionWithLengthAndNameTypeDescriptors[2] = {
        SimplePropertyDescriptor(BuiltInPropertyRecords::length, PropertyConfigurable),
        SimplePropertyDescriptor(BuiltInPropertyRecords::name, PropertyConfigurable)
    };

    SimpleTypeHandler<1> JavascriptLibrary::SharedPrototypeTypeHandler(
        BuiltInPropertyRecords::constructor, PropertyWritable | PropertyConfigurable, PropertyTypesWritableDataOnly, 4, sizeof(DynamicObject));
    SimpleTypeHandler<1> JavascriptLibrary::SharedFunctionWithoutPrototypeTypeHandler(
        BuiltInPropertyRecords::name, PropertyConfigurable);
    SimpleTypeHandler<1> JavascriptLibrary::SharedFunctionWithPrototypeTypeHandlerV11(
        BuiltInPropertyRecords::prototype, PropertyWritable);
    SimpleTypeHandler<2> JavascriptLibrary::SharedFunctionWithPrototypeTypeHandler(
        SharedFunctionPropertyDescriptors);
    SimpleTypeHandler<1> JavascriptLibrary::SharedIdMappedFunctionWithPrototypeTypeHandler(
        BuiltInPropertyRecords::prototype);
    SimpleTypeHandler<1> JavascriptLibrary::SharedFunctionWithLengthTypeHandler(
        BuiltInPropertyRecords::length);
    SimpleTypeHandler<2> JavascriptLibrary::SharedFunctionWithLengthAndNameTypeHandler(
        FunctionWithLengthAndNameTypeDescriptors);
    MissingPropertyTypeHandler JavascriptLibrary::MissingPropertyHolderTypeHandler;
}",1
"```cpp
bool checkReceivedData(long checkpointId) {
    int numberOfParallelSubtasks = runtimeContext.getNumberOfParallelSubtasks();
    std::vector<FileStatus> fileStatuses;
    Path instantMarkerPath = generateCurrentMakerPath();
    while (true) {
        std::this_thread::sleep_for(std::chrono::milliseconds(500));
```","```cpp
bool checkReceivedData(long checkpointId) {
    int numberOfParallelSubtasks = runtimeContext.getNumberOfParallelSubtasks();
    std::vector<FileStatus> fileStatuses;
    Path instantMarkerPath = generateCurrentMakerPath();
    // waiting all subtask create marker file ready
    while (true) {
        std::this_thread::sleep_for(std::chrono::milliseconds(500));
```",0
"virtual std::optional<HoodieBaseFile> getLatestDataFile(const std::string& partitionStr, const std::string& fileId) override {
    std::unique_lock<std::shared_mutex> lock(readLock);
    std::string partitionPath = formatPartitionKey(partitionStr);","virtual std::optional<HoodieBaseFile> getLatestDataFile(const std::string& partitionStr, const std::string& fileId) final {
    try {
        readLock.lock();
        std::string partitionPath = formatPartitionKey(partitionStr);",0
"```cpp
void validateMuzzle(ClassLoader* agentClassLoader, ClassLoader* userClassLoader, bool assertPass) {
  // Iterate over all InstrumentationModules loaded with agentClassLoader
  for (auto& instrumentationModule : ServiceLoader<InstrumentationModule>::load(agentClassLoader)) {
    Method* getMuzzleReferenceMatcher = nullptr;
    try {
      getMuzzleReferenceMatcher = InstrumentationModule::classType()->getDeclaredMethod(""getMuzzleReferenceMatcher"");
      getMuzzleReferenceMatcher->setAccessible(true);
      ReferenceMatcher* muzzle = static_cast<ReferenceMatcher*>(getMuzzleReferenceMatcher->invoke(instrumentationModule.get()));
      std::vector<Mismatch> mismatches = muzzle->getMismatchedReferenceSources(userClassLoader);

      bool classLoaderMatch = instrumentationModule->classLoaderMatcher()->matches(userClassLoader);
      bool passed = mismatches.empty() && classLoaderMatch;

      if (passed && !assertPass) {
        std::cerr << ""MUZZLE PASSED ""
                  << typeid(*instrumentationModule).name()
                  << "" BUT FAILURE WAS EXPECTED"" << std::endl;
        throw std::runtime_error(""Instrumentation unexpectedly passed Muzzle validation"");
      } else if (!passed && assertPass) {
        std::cerr << ""FAILED MUZZLE VALIDATION: ""
                  << typeid(*instrumentationModule).name()
                  << "" mismatches:"" << std::endl;

        if (!classLoaderMatch) {
          std::cerr << ""-- classloader mismatch"" << std::endl;
        }
      }
    } catch (const std::exception& ex) {
      throw;
    }
  }
}
```","```cpp
#include <vector>
#include <string>
#include <stdexcept>
#include <iostream>

void validateAllInstrumenters(ClassLoader* agentClassLoader, ClassLoader* userClassLoader, bool assertPass) {
    for (auto& instrumentationModule : ServiceLoader<InstrumentationModule>::load(agentClassLoader)) {
        ReferenceMatcher* muzzle = nullptr;
        try {
            muzzle = instrumentationModule->getMuzzleReferenceMatcher();
            std::vector<Mismatch> mismatches = muzzle->getMismatchedReferenceSources(userClassLoader);

            bool classLoaderMatch = instrumentationModule->classLoaderMatcher()->matches(userClassLoader);
            bool passed = mismatches.empty() && classLoaderMatch;

            if (passed && !assertPass) {
                std::cerr << ""MUZZLE PASSED ""
                          << typeid(*instrumentationModule).name()
                          << "" BUT FAILURE WAS EXPECTED"" << std::endl;
                throw std::runtime_error(""Instrumentation unexpectedly passed Muzzle validation"");
            } else if (!passed && assertPass) {
                std::cerr << ""FAILED MUZZLE VALIDATION: ""
                          << typeid(*instrumentationModule).name()
                          << "" mismatches:"" << std::endl;

                if (!classLoaderMatch) {
                    std::cerr << ""-- classloader mismatch"" << std::endl;
                }
                for (const auto& m : mismatches) {
                    std::cerr << m.toString() << std::endl;
                }
                throw std::runtime_error(""Instrumentation failed Muzzle validation"");
            }
        } catch (const std::exception& ex) {
            throw;
        }
    }
}
```",0
"clearClientContextIfNeeded(getMessageObserver());
return;
}

// If this branch is reached, it means that the message payload is empty.
// By asserting that the inboundProperty 'http.status' exists, I'm verifying that
// the last inbound endpoint used was HTTP, and that it set the property correctly.
else if (resEvent.getMessage().getInboundPropertyNames().count(""http.status"") > 0)
{
    int httpResponseStatusCode = std::stoi(resEvent.getMessage().getInboundProperty(""http.status"").toString());
    // Fail for any status code, but an Accepted (202) one.
    if (httpResponseStatusCode != SC_ACCEPTED)
    {
        throw HttpResponseException(""HTTP Response payload empty can't be processed through CXF components"", httpResponseStatusCode);
    }
}","```cpp
if (resEvent.getMessage().getInboundPropertyNames().count(""http.status"") > 0)
{
    int httpResponseStatusCode = std::stoi(resEvent.getMessage().getInboundProperty(""http.status"").toString());
    // Fail for any status code, but an Accepted (202) one.
    if (httpResponseStatusCode != SC_ACCEPTED)
    {
        throw HttpResponseException(""HTTP Response payload empty can't be processed through CXF components"", httpResponseStatusCode);
    }
}
```",1
"#include <map>
#include <string>
#include <vector>
#include <algorithm>

inline std::map<std::string, std::string> singletonMap(const std::string& key, const std::string& value) {
    return {{key, value}};
}

template<typename T>
bool hasItem(const std::vector<T>& collection, const T& item) {
    return std::find(collection.begin(), collection.end(), item) != collection.end();
}

template<typename T>
bool hasItems(const std::vector<T>& collection, const std::vector<T>& items) {
    for (const auto& item : items) {
        if (std::find(collection.begin(), collection.end(), item) == collection.end()) {
            return false;
        }
    }
    return true;
}

template<typename T>
bool hasSize(const std::vector<T>& collection, std::size_t size) {
    return collection.size() == size;
}","#include <map>
#include <string>
#include <gmock/gmock.h>
#include <gtest/gtest.h>

using ::testing::Contains;
using ::testing::ElementsAre;
using ::testing::SizeIs;

inline std::map<std::string, int> singletonMap(const std::string& key, int value) {
    return { {key, value} };
}",0
"std::sort(catchBlocks.begin(), catchBlocks.end(), [](const auto& b1, const auto& b2) {
    return b2.id() < b1.id();
});
auto firstMatchingCatchBlock = std::find_if(catchBlocks.begin(), catchBlocks.end(), <matching_predicate>);
if (firstMatchingCatchBlock != catchBlocks.end()) {
    enqueue(ExplodedGraph::ProgramPoint(*firstMatchingCatchBlock, 0), ps, methodYield);
    return;
}

for (const auto& b : catchBlocks) {
    if (ExplodedGraphWalker::isCatchingUncheckedException(b)) {
        enqueue(ExplodedGraph::ProgramPoint(b, 0), ps, methodYield);
    }
}

ps.storeExitValue();","std::optional<BlockType> firstMatchingCatchBlock = 
    std::ranges::max_element(
        catchBlocks,
        [](const auto& b1, const auto& b2) { return b1->id() < b2->id(); },
        [](const auto& b) { return b; }
    );
if (firstMatchingCatchBlock != catchBlocks.end()) {
    enqueue(ExplodedGraph::ProgramPoint(*firstMatchingCatchBlock, 0), ps, methodYield);
    return;
}

for (const auto& b : catchBlocks) {
    if (isCatchingUncheckedException(b)) {
        enqueue(ExplodedGraph::ProgramPoint(b, 0), ps, methodYield);
    }
}

ps.storeExitValue();",0
"#include <vector>
#include <string>

class DataTable
{
};","#include <vector>
#include <string>

class DataTable
{",0
"#include <filesystem>
#include <memory>
#include <stdexcept>
#include <mutex>

namespace fs = std::filesystem;

inline void checkArgument(bool expression, const std::string& message) {
    if (!expression) throw std::invalid_argument(message);
}

class LockFactory {
public:
    virtual std::unique_ptr<std::mutex> createLock() = 0;
    virtual ~LockFactory() = default;
};

class ObjectStoreException : public std::runtime_error {
public:
    explicit ObjectStoreException(const std::string& msg) : std::runtime_error(msg) {}
};","#include <string>
#include <filesystem>
#include <memory>
#include <stdexcept>
#include <mutex>

using namespace std;
namespace fs = std::filesystem;",0
"ASSERT_EQ(readClient.latestCommit(), newCommitTime);
ASSERT_EQ(readClient.readCommit(newCommitTime).count(), records.size());

HoodieTableMetaClient metaClient(fs, basePath);
HoodieTable table = HoodieTable::getHoodieTable(metaClient, getConfig());

auto taggedRecords = index.tagLocation(jsc.parallelize(records, 1), table).collect();
checkTaggedRecords(taggedRecords, ""001"");","assert(readClient.latestCommit() == newCommitTime && ""Latest commit should be 001"");
assert(readClient.readCommit(newCommitTime).count() == records.size() && ""Must contain 200 records"");
HoodieTableMetaClient metaClient(fs, basePath);
HoodieTable table = HoodieTable::getHoodieTable(metaClient, getConfig());

auto taggedRecords = index.tagLocation(jsc.parallelize(records, 1), table).collect();
checkTaggedRecords(taggedRecords, ""001"");",0
"LookupResult performLookup(const std::string& name, const std::string& key) {
    return lookupTableService.newBuilder().lookupTable(name).build().lookup(key);
}","LookupResult performLookup(const std::string& name, const std::string& key) {
    return lookupTableService.newBuilder().lookupTable(name).build().lookup(key);
}",0
"return userPrefs->getBoolean(ANALYTICS_OPTIN_KEY, false);
}

static void setEnabled(bool value) {
    auto prefs = AnkiDroidApp::getSharedPrefs(AnkiDroidApp::getInstance());
    prefs->edit()
         ->putBoolean(UsageAnalytics::ANALYTICS_OPTIN_KEY, value)
         ->apply();
}

class Category {","static bool isEnabled() {
    return userPrefs.getBoolean(ANALYTICS_OPTIN_KEY, false);
}

static void setEnabled(bool value) {
    // A listener on this preference handles the rest
    auto prefs = AnkiDroidApp::getSharedPrefs(AnkiDroidApp::getInstance());
    prefs->edit()->putBoolean(UsageAnalytics::ANALYTICS_OPTIN_KEY, value)->apply();
}

class Category {",0
"{
    ServiceStatistics stats = getServiceStatistics();
    assert(stats.getAverageQueueSize() == 1);
    FlowConstructStatistics fstats = getFlowConstructStatistics();
    assert(fstats.getAverageQueueSize() == 1);
}","TEST(JmxStatisticsAsyncTestCase, TestCaseName)
{
    ServiceStatistics stats = getServiceStatistics();
    ASSERT_EQ(1, stats.getAverageQueueSize());
    FlowConstructStatistics fstats = getFlowConstructStatistics();
    ASSERT_EQ(1, fstats.getAverageQueueSize());
}",1
"if (result) {
    std::string message = 
        std::format(""Transitioned host HA state from:{} to:{} due to event:{} for the host id:{}"",
            currentHAState, nextState, event, haConfig.getResourceId());

    LOG.debug(message);

    if (nextState == HAConfig::HAState::Recovering ||
        nextState == HAConfig::HAState::Fencing ||
        nextState == HAConfig::HAState::Fenced) {
        ActionEventUtils::onActionEvent(
            CallContext::current().getCallingUserId(),
            CallContext::current().getCallingAccountId(),
            Domain::ROOT_DOMAIN,
            EventTypes::EVENT_HA_STATE_TRANSITION,
            message
        );
    }
}","if (result) {
    std::string message = ""Transitioned host HA state from:"" + std::to_string(currentHAState) +
                          "" to:"" + std::to_string(nextState) +
                          "" due to event:"" + std::to_string(event) +
                          "" for the host id:"" + std::to_string(haConfig.getResourceId());
    LOG.debug(message);

    if (nextState == HAConfig::HAState::Recovering ||
        nextState == HAConfig::HAState::Fencing ||
        nextState == HAConfig::HAState::Fenced) {
        ActionEventUtils::onActionEvent(CallContext::current().getCallingUserId(),
                                        CallContext::current().getCallingAccountId(),
                                        Domain::ROOT_DOMAIN,
                                        EventTypes::EVENT_HA_STATE_TRANSITION,
                                        message);
    }
}",1
"try {
    createNode(key, value);
} catch (const KeeperException::NodeExistsException&) {
    updateNode(key, value, -1);
}","```cpp
try {
    createNode(key, value);
}
catch (const KeeperException::NodeExistsException& /*e*/) {
    updateNode(key, value, -1);
}
```",0
"#include ""org/mule/runtime/api/message/Message.h""
#include ""org/mule/runtime/core/api/lifecycle/LifecycleUtils.h""
#include ""org/mule/runtime/dsl/api/component/config/DefaultComponentLocation.h""
#include ""org/mule/runtime/api/exception/MuleException.h""
#include ""org/mule/runtime/core/DefaultEventContext.h""

using org::mule::runtime::api::message::Message;
using org::mule::runtime::core::DefaultEventContext;
using org::mule::runtime::api::exception::MuleException;

using org::mule::runtime::core::api::lifecycle::stopIfNeeded;
using org::mule::runtime::api::message::of;
using org::mule::runtime::dsl::api::component::config::DefaultComponentLocation::fromSingleComponent;","#include ""org/mule/runtime/api/message/Message.h""
#include ""org/mule/runtime/core/api/lifecycle/LifecycleUtils.h""
#include ""org/mule/runtime/dsl/api/component/config/DefaultComponentLocation.h""
#include ""org/mule/runtime/api/exception/MuleException.h""
#include ""org/mule/runtime/core/DefaultEventContext.h""

using org::mule::runtime::api::message::Message;
using org::mule::runtime::core::api::lifecycle::LifecycleUtils::stopIfNeeded;
using org::mule::runtime::dsl::api::component::config::DefaultComponentLocation::fromSingleComponent;",0
